quarter,strategy,tickers,return
2022-Q4,MOM,"['7011.T', '4568.T', '8058.T', '8031.T', '7733.T', '9432.T', '9433.T', '7270.T', '4661.T', '8306.T']",0.044022273188646675
2022-Q4,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.03047453261531564
2022-Q4,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.07286831808323402
2022-Q4,COMP,"['7011.T', '4568.T', '8306.T', '8316.T', '7270.T', '7733.T', '8058.T', '8031.T', '6971.T', '9433.T']",0.06696869347965512
2023-Q1,MOM,"['7011.T', '4568.T', '8031.T', '4523.T', '4502.T', '5401.T', '8058.T', '2802.T', '8001.T', '2914.T']",0.12695980551202835
2023-Q1,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.11939834244575472
2023-Q1,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.10892037038800191
2023-Q1,COMP,"['7011.T', '4568.T', '8316.T', '8306.T', '8031.T', '4523.T', '4502.T', '5401.T', '8058.T', '8001.T']",0.09628079669626002
2023-Q2,MOM,"['5401.T', '4568.T', '8316.T', '8031.T', '7011.T', '8306.T', '2914.T', '2802.T', '4523.T', '8058.T']",0.2083329373272314
2023-Q2,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.16321086904150228
2023-Q2,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.182866048656117
2023-Q2,COMP,"['8316.T', '8306.T', '5401.T', '4568.T', '8031.T', '2914.T', '4523.T', '6954.T', '7270.T', '7011.T']",0.17308749082456146
2023-Q3,MOM,"['2802.T', '4523.T', '9983.T', '8316.T', '4568.T', '8031.T', '2914.T', '4661.T', '8306.T', '8058.T']",0.0006195450703549765
2023-Q3,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.05196404530432027
2023-Q3,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",-0.011666278179316748
2023-Q3,COMP,"['4523.T', '8316.T', '8306.T', '2802.T', '4568.T', '8031.T', '6503.T', '9983.T', '2914.T', '6954.T']",-0.01956725866703791
2023-Q4,MOM,"['8031.T', '8058.T', '8306.T', '8316.T', '5401.T', '4523.T', '7011.T', '2802.T', '8001.T', '8035.T']",-0.01410645890296488
2023-Q4,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.027075492651408094
2023-Q4,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.14767788791182035
2023-Q4,COMP,"['8306.T', '8316.T', '8031.T', '4523.T', '5401.T', '8058.T', '4063.T', '8001.T', '6902.T', '8035.T']",0.014010916807237473
2024-Q1,MOM,"['8306.T', '5401.T', '8316.T', '7011.T', '8058.T', '8035.T', '6503.T', '4063.T', '2914.T', '7203.T']",0.3240581695346479
2024-Q1,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.16968975463465066
2024-Q1,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.19734571942677104
2024-Q1,COMP,"['8306.T', '8316.T', '5401.T', '6503.T', '4063.T', '8058.T', '4519.T', '8035.T', '7203.T', '7011.T']",0.3198918898958377
2024-Q2,MOM,"['8035.T', '7011.T', '8058.T', '7203.T', '6501.T', '4519.T', '4063.T', '8031.T', '6098.T', '8306.T']",0.09026647576118742
2024-Q2,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.03761403839271732
2024-Q2,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.0682202003538619
2024-Q2,COMP,"['8035.T', '7011.T', '8306.T', '8058.T', '7203.T', '8316.T', '4063.T', '4519.T', '6501.T', '7270.T']",0.08259090882407528
2024-Q3,MOM,"['7011.T', '6501.T', '8316.T', '6098.T', '8031.T', '7203.T', '8306.T', '8058.T', '8035.T', '8802.T']",-0.04897683738994688
2024-Q3,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.08985694847176807
2024-Q3,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",-0.004088857337322438
2024-Q3,COMP,"['8316.T', '8306.T', '7011.T', '6501.T', '7203.T', '8031.T', '6098.T', '7270.T', '8058.T', '6503.T']",-0.048668343945032125
2024-Q4,MOM,"['7011.T', '6501.T', '6098.T', '4519.T', '6702.T', '8316.T', '4568.T', '9983.T', '8001.T', '4063.T']",0.023170946581584972
2024-Q4,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.006725867232039495
2024-Q4,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.0545040210889588
2024-Q4,COMP,"['7011.T', '8316.T', '6501.T', '4519.T', '8306.T', '6702.T', '6098.T', '4063.T', '4901.T', '4568.T']",0.027865934505288292
